TV_Budget,Online_Video_Budget,Radio_Budget,Region,Sales
197.85,179.15,74.08,East,744.0
107.19,93.54,71.75,West,438.14
203.31,180.09,73.71,North,748.32
94.73,85.83,82.32,West,424.14
235.28,210.63,71.74,East,837.89
117.67,110.37,18.48,East,430.27
241.09,212.7,93.51,North,882.78
97.06,86.63,43.2,North,378.62
292.57,255.05,97.06,East,1056.33
177.53,153.44,69.77,East,676.31
138.26,116.48,22.39,South,478.67
249.49,220.09,15.99,East,797.23
213.2,187.18,84.19,East,809.33
227.88,205.4,29.69,West,744.91
233.17,218.94,96.59,East,868.15
151.91,135.99,94.23,North,614.4
256.21,229.06,60.47,East,877.27
249.15,217.51,58.23,West,848.92
,159.63,22.24,South,571.85
256.7,221.6,51.76,West,849.45
94.34,88.39,23.99,East,352.49
77.88,65.16,54.77,South,333.55
225.02,194.63,13.98,West,707.48
271.75,245.99,18.74,South,867.68
114.71,105.63,83.79,East,490.48
77.53,68.66,87.5,South,383.67
216.99,195.55,71.52,South,783.93
158.19,136.17,1165.68,North,533.68
252.67,222.56,99.86,North,919.5
207.08,190.54,43.55,West,706.49
175.64,151.36,72.51,East,668.28
143.79,123.22,67.63,West,536.93
90.6,79.49,88.08,South,436.71
69.27,62.11,46.38,South,301.47
162.34,135.07,57.6,South,611.18
,244.54,81.37,North,970.84
,131.37,92.98,South,595.74
90.07,81.92,43.28,North,354.0
167.49,148.56,38.77,South,586.21
260.01,230.74,37.64,South,873.19
272.75,245.85,82.22,West,954.36
168.4,155.41,92.12,South,659.63
145.61,126.16,19.85,West,474.99
119.47,110.24,72.23,East,494.53
158.81,143.41,62.73,North,586.0
120.74,116.44,89.27,North,519.67
118.87,115.51,64.85,North,455.32
245.25,215.41,98.91,North,889.42
107.92,91.25,55.31,East,451.09
264.53,242.45,44.7,West,889.73
62.67,52.36,26.69,East,248.98
81.25,66.52,17.53,South,294.98
253.16,227.48,66.09,West,871.93
98.29,85.01,86.05,West,436.1
180.52,151.78,73.42,East,696.13
232.14,212.25,37.43,North,784.79
214.28,184.88,11.98,South,690.91
97.23,96.25,16.99,South,340.13
244.13,225.26,26.97,South,783.82
277.52,250.79,62.08,South,953.72
252.54,229.18,49.22,East,857.28
120.4,106.1,97.81,West,520.74
192.37,168.94,79.71,South,733.3
215.39,202.64,27.32,West,702.98
,216.57,76.76,West,851.92
55.3,53.73,45.65,South,277.48
194.47,170.91,33.02,West,636.33
229.48,206.96,50.99,South,776.24
193.75,176.85,75.06,South,712.56
198.8,176.98,12.31,South,665.57
,255.95,43.86,South,939.51
188.25,176.46,77.81,East,718.14
128.56,113.63,63.42,South,522.42
266.01,243.28,88.9,East,942.49
141.65,129.74,85.56,West,563.98
73.31,68.91,73.08,South,371.71
164.25,140.85,49.7,East,592.49
232.52,203.57,18.56,West,739.25
232.05,209.38,33.15,North,771.0
63.85,51.64,67.48,South,327.96
270.3,249.57,14.99,South,867.28
291.74,263.73,74.76,South,1032.82
292.81,267.48,22.6,North,934.67
200.59,175.61,52.45,North,684.57
186.68,167.97,16.17,West,606.78
263.33,240.34,80.72,West,929.72
190.83,176.03,28.13,East,633.53
277.59,244.61,12.58,South,887.14
169.36,157.13,35.27,East,579.53
157.13,141.65,65.04,North,587.07
268.28,238.29,26.3,North,858.54
289.62,254.12,87.34,South,1036.22
208.76,193.17,33.38,East,717.65
96.12,90.06,50.03,North,382.25
238.66,215.17,14.29,East,790.5
109.07,101.53,35.77,East,417.29
,178.85,12.76,West,636.5
100.13,98.39,41.94,North,387.31
,235.07,22.26,South,852.08
242.88,218.68,29.98,South,778.74
56.41,51.64,27.14,East,253.71
64.31,49.59,83.1,East,336.37
79.03,64.43,77.99,South,381.92
227.33,208.93,74.75,South,828.66
243.62,212.54,31.04,East,819.44
98.85,93.77,67.31,East,437.28
51.08,37.45,94.78,East,354.49
273.24,244.89,62.85,West,938.09
202.23,181.84,46.19,North,694.49
188.69,167.12,48.59,West,646.43
101.13,92.59,26.66,South,382.89
133.92,120.19,95.2,North,556.22
223.65,201.89,73.34,South,815.97
106.58,93.07,95.39,West,482.16
276.29,246.18,44.41,North,921.71
148.57,137.14,67.97,West,578.17
188.29,173.88,29.17,West,618.6
190.3,169.98,97.97,South,758.3
222.33,198.4,51.66,West,763.5
81.91,83.78,17.1,South,281.36
248.72,220.58,63.41,South,875.19
133.78,111.89,67.13,West,513.05
187.37,167.56,44.12,East,670.78
,111.84,13.43,North,432.64
294.53,263.51,69.91,East,1016.25
184.29,178.4,86.69,North,712.75
51.27,39.04,39.23,North,244.75
261.58,239.96,55.37,South,891.0
282.36,253.88,53.33,West,927.22
161.93,145.09,32.06,South,572.14
100.36,91.41,23.16,West,341.31
193.64,169.75,67.15,North,689.07
71.44,68.45,65.4,North,335.64
270.44,239.17,84.39,North,953.51
,232.23,22.86,West,798.91
87.31,88.54,44.74,West,331.28
173.58,165.0,39.51,West,589.99
98.11,86.35,13.07,East,348.78
160.49,143.18,38.77,West,538.49
201.68,183.56,69.83,East,732.83
273.52,246.75,18.51,South,884.85
94.38,83.35,37.67,South,375.87
178.79,163.66,45.41,West,613.6
199.83,184.34,14.95,East,651.53
185.98,163.56,28.76,North,630.1
57.95,55.38,63.64,North,293.53
57.62,48.82,94.36,East,361.28
257.76,232.11,72.25,South,892.67
297.84,269.39,24.12,West,948.73
236.9,218.53,80.65,West,852.33
284.65,246.2,10.29,South,902.8
257.17,230.06,15.28,East,824.62
247.38,216.12,50.11,South,846.88
114.94,98.43,44.58,North,405.42
298.41,276.49,89.95,West,1051.86
202.21,178.69,71.06,East,747.62
,272.45,85.27,South,1042.51
107.7,93.03,37.09,South,400.19
168.08,152.22,19.81,South,575.6
194.77,179.67,50.92,North,681.7
230.84,206.04,62.77,East,816.3
279.6,254.56,94.79,North,1008.66
108.32,92.74,83.77,North,485.78
210.51,192.67,29.74,West,698.59
57.73,45.76,35.91,South,255.86
142.32,123.33,21.4,West,478.77
62.13,49.89,37.72,East,267.81
235.48,218.06,73.92,West,836.4
141.92,123.56,45.78,South,524.38
265.15,235.29,82.23,North,956.25
157.68,148.74,29.39,North,539.4
,193.78,76.27,South,754.1
249.71,228.23,37.9,South,846.5
287.77,255.7,37.79,West,931.35
238.6,210.84,48.64,South,819.06
146.16,125.05,81.8,North,588.99
90.95,86.39,81.9,North,414.51
80.12,57.92,18.84,South,294.07
101.88,89.22,48.86,East,427.63
130.03,124.44,95.99,West,550.25
127.49,112.13,92.77,North,548.31
289.21,258.97,31.25,North,934.83
113.49,103.99,84.29,West,462.56
156.89,135.48,39.65,East,560.89
159.94,151.65,34.63,North,548.7
63.91,42.8,21.92,West,232.58
112.16,101.82,32.6,North,400.78
276.18,247.05,71.8,North,960.59
116.8,110.21,74.56,South,492.36
201.1,188.12,34.05,South,685.63
,263.25,10.82,North,887.75
138.65,119.3,50.45,West,493.16
155.74,140.74,62.98,West,576.51
260.56,236.12,71.96,East,941.41
171.09,162.75,66.91,North,648.59
264.33,238.75,69.76,South,928.52
125.55,109.87,71.99,West,509.81
271.28,243.62,35.78,West,880.23
294.06,252.38,29.28,South,961.05
,65.15,40.72,South,315.29
107.75,89.11,95.08,East,494.15
92.07,81.97,38.93,South,375.55
290.81,258.12,50.27,North,948.07
126.52,119.37,84.37,West,526.61
289.62,267.26,83.52,West,994.18
291.34,271.06,39.46,East,950.15
196.67,173.49,71.17,West,700.89
60.09,52.4,16.99,North,242.58
245.01,215.65,35.45,South,819.88
111.7,106.38,32.53,North,409.93
,52.4,64.7,South,324.84
250.97,222.36,99.89,South,945.06
180.71,162.33,22.03,East,627.24
201.68,186.64,18.21,North,654.72
196.99,172.95,89.7,East,758.04
75.42,77.1,89.27,South,376.99
281.88,255.74,98.64,North,1031.03
220.44,199.87,89.55,West,818.82
96.2,90.12,43.6,South,396.89
147.96,133.22,21.92,West,502.48
258.35,232.01,73.3,South,908.08
82.84,80.47,44.58,South,326.2
128.46,112.17,61.39,South,510.49
298.17,264.55,24.42,North,961.11
285.06,259.52,24.6,East,919.19
270.48,245.39,34.5,South,876.12
170.55,154.6,42.92,West,567.97
249.37,222.94,14.95,West,801.18
282.39,259.23,75.34,West,992.26
218.91,196.91,41.79,West,734.15
183.34,169.46,91.55,South,713.59
258.79,229.81,30.25,East,850.98
124.09,109.07,36.37,West,443.19
278.98,265.18,68.13,South,987.02
220.87,205.19,97.04,East,850.29
162.1,145.02,65.47,North,602.02
199.71,185.13,13.74,South,640.96
270.16,236.65,26.03,West,870.99
205.23,180.37,19.59,South,675.44
229.03,204.51,14.41,North,721.27
237.21,215.6,73.25,South,853.06
116.46,106.41,48.57,North,440.5
182.31,170.77,50.84,North,654.08
246.36,227.8,47.53,West,819.49
,251.82,71.3,North,961.49
289.39,260.93,36.29,West,945.19
64.8,63.2,95.74,North,369.11
251.29,218.94,61.49,West,870.01
297.85,262.65,16.3,East,950.55
195.84,181.34,93.78,South,758.49
295.19,268.42,47.89,South,971.58
159.54,148.49,26.1,West,527.28
78.47,65.0,52.77,North,347.27
56.24,56.52,66.8,South,308.47
87.15,79.73,54.03,North,364.86
115.39,106.32,60.71,West,445.12
253.05,225.34,17.92,West,795.1
246.93,229.93,36.3,South,834.93
,156.19,11.12,North,569.91
173.98,152.37,91.05,North,671.62
221.78,197.69,53.32,South,757.55
141.32,117.22,25.29,East,493.42
149.9,136.49,25.32,West,523.99
69.95,51.66,39.93,East,310.25
206.17,181.74,30.21,East,686.26
278.95,251.63,17.55,West,881.68
155.05,144.48,90.36,North,613.66
264.71,238.38,30.45,South,887.1
185.61,168.09,38.34,East,637.01
276.63,240.87,46.92,North,939.91
78.41,72.87,51.57,North,330.0
151.65,135.51,95.65,North,617.91
90.2,78.0,31.24,West,358.66
78.05,73.08,30.5,North,272.09
272.61,249.41,78.24,South,965.17
201.79,179.05,31.32,North,674.81
105.39,93.52,77.81,East,461.11
205.52,194.38,21.56,East,673.04
138.43,125.6,67.24,West,531.18
122.2,115.35,19.45,West,412.23
259.51,236.23,70.39,South,911.64
263.34,233.36,46.95,North,878.41
54.03,47.51,78.05,East,308.92
56.0,52.09,32.97,North,231.83
248.51,215.81,50.23,East,860.29
290.87,255.93,76.99,West,981.24
150.71,145.04,88.86,South,616.76
108.75,104.68,17.66,West,362.66
271.22,245.88,84.65,East,980.42
280.32,250.16,27.65,North,909.38
55.24,47.24,15.56,South,201.06
298.81,268.66,52.13,North,979.61
72.93,68.25,74.54,North,348.57
241.57,210.92,96.12,North,887.26
290.8,269.85,26.12,East,949.08
163.44,145.55,34.09,West,545.4
181.74,162.31,68.39,West,678.62
143.11,132.12,780.17,East,490.58
82.2,61.54,99.45,West,404.74
153.06,146.88,30.76,North,525.39
70.48,55.6,44.65,North,305.1
101.96,86.18,57.61,West,398.36
237.49,216.17,44.52,West,791.01
138.31,119.54,35.6,North,498.83
,264.47,87.42,North,1046.14
106.95,96.64,36.5,East,399.96
,150.85,81.47,South,672.78
118.36,112.08,37.81,South,449.81
64.76,51.56,12.68,West,220.97
84.54,79.84,92.3,East,437.27
262.0,226.66,82.87,North,943.15
177.3,157.42,25.81,South,612.92
174.07,162.8,47.52,East,628.28
238.38,211.8,60.7,North,819.13
,184.79,34.58,North,665.8
279.96,250.6,37.42,North,925.88
95.92,85.86,12.24,South,342.27
191.01,172.79,24.69,South,634.64
,159.07,96.27,East,703.88
124.63,119.34,91.59,North,527.54
70.91,56.39,69.18,East,359.69
217.96,193.43,48.99,North,753.1
289.46,254.14,45.09,West,947.18
80.2,74.41,94.59,North,421.77
158.83,146.48,99.08,East,655.01
209.85,184.36,24.76,North,684.24
157.73,142.54,85.81,West,597.73
154.9,142.95,26.09,North,529.27
141.3,125.37,28.7,South,495.83
138.73,122.39,73.84,North,528.99
241.49,216.11,91.5,West,890.46
73.42,59.93,20.53,West,258.68
293.96,267.96,22.06,East,943.79
128.31,122.28,94.55,South,572.8
285.05,249.91,47.48,South,953.8
138.68,125.4,56.32,East,535.35
129.7,118.53,71.0,South,506.28
103.02,98.38,22.51,East,390.63
,128.18,33.76,North,497.97
234.82,212.06,98.74,South,881.69
288.08,258.44,41.49,East,951.91
269.45,243.68,34.17,North,895.92
139.89,117.42,75.64,East,562.08
225.7,191.09,43.56,East,770.8
145.65,134.93,46.77,North,530.25
97.2,82.54,84.52,North,448.77
281.74,249.58,38.47,South,945.23
,82.07,62.32,East,396.71
143.6,135.57,84.39,South,602.65
138.03,125.4,93.64,East,591.4
121.14,106.63,86.12,North,507.07
178.79,156.86,21.8,South,606.79
130.38,107.51,23.68,North,446.16
226.65,211.99,75.35,West,807.1
90.56,84.02,26.85,East,340.19
173.66,155.6,53.98,East,648.34
224.0,203.66,93.68,North,824.02
86.76,76.74,44.08,West,350.99
118.14,103.4,61.61,West,452.33
173.43,150.42,94.35,South,700.97
103.05,89.3,38.38,North,397.3
276.78,248.34,95.5,West,1006.8
297.66,260.19,39.25,North,966.08
68.7,61.92,64.64,West,311.79
215.74,194.92,68.36,East,786.53
70.57,54.48,87.61,North,343.83
196.47,177.78,72.91,South,735.39
50.45,51.1,23.31,East,228.43
222.2,198.36,37.33,West,722.18
94.42,93.9,86.39,West,423.03
178.73,154.44,82.66,West,676.26
121.05,116.29,91.59,West,513.1
135.26,112.92,85.26,South,563.62
236.96,226.06,40.51,West,784.03
123.82,108.3,56.23,West,480.06
182.19,158.36,56.77,South,655.41
110.19,93.87,12.12,West,343.21
196.85,173.72,53.48,West,674.47
82.09,73.63,72.09,North,398.42
173.71,154.29,62.8,North,630.89
208.97,183.95,44.06,East,729.04
79.43,64.73,42.82,North,321.58
192.96,172.02,25.04,West,623.07
145.17,137.01,94.63,North,602.75
246.37,216.91,54.04,East,858.36
135.95,128.18,59.0,North,517.12
265.62,243.79,40.6,South,882.13
161.92,148.21,38.96,South,579.55
239.31,208.42,18.83,South,775.71
68.8,66.03,48.57,North,335.47
254.34,230.65,67.65,East,892.38
134.54,123.95,89.13,West,566.55
138.13,116.56,78.56,East,574.04
89.54,87.83,37.24,South,346.81
246.06,221.62,82.59,East,878.89
219.75,201.5,70.31,South,800.41
149.87,130.43,64.39,North,574.7
181.44,158.95,88.94,West,702.61
158.63,138.22,50.32,West,565.23
284.17,251.76,33.16,West,935.51
240.53,215.58,30.28,South,791.29
101.61,87.09,97.29,East,480.8
228.41,208.33,65.73,East,835.31
207.09,185.01,63.57,South,756.78
146.52,133.74,90.76,West,601.22
70.98,72.09,23.82,West,270.15
187.55,165.3,93.57,East,746.47
71.62,67.54,44.01,West,282.05
220.59,200.52,68.24,East,792.84
197.85,178.07,41.6,North,664.47
139.06,117.74,17.61,South,482.96
273.85,243.8,38.14,West,913.28
149.68,139.91,94.45,East,637.36
195.01,178.8,60.57,North,694.38
202.92,187.1,44.75,South,692.4
215.8,193.49,54.65,South,758.0
220.07,200.7,10.71,North,684.33
235.03,211.86,39.63,East,808.36
224.73,212.08,95.46,South,858.95
87.4,85.76,23.36,North,321.36
121.9,106.22,45.94,South,485.39
114.27,112.77,99.5,South,518.12
,106.74,68.92,East,474.92
234.33,214.77,46.79,East,814.65
224.37,203.01,44.18,South,773.51
173.28,153.39,51.57,East,645.57
,139.33,92.51,North,629.89
186.45,172.62,59.74,North,654.32
282.87,255.67,86.96,West,1019.56
71.22,66.41,49.06,North,312.61
269.92,236.78,54.07,South,921.28
299.95,271.32,10.99,East,969.05
78.82,74.64,39.29,East,329.01
199.57,180.02,89.5,East,770.77
291.78,271.63,31.2,West,919.78
260.37,236.53,41.13,North,866.56
,218.44,25.73,North,772.11
292.4,260.14,72.66,East,1019.35
272.01,258.33,80.21,North,967.24
275.11,238.14,69.24,West,935.03
238.18,211.83,89.17,West,875.15
147.33,123.1,94.67,North,601.61
285.72,269.36,73.83,South,1007.24
272.96,238.64,67.89,South,966.89
77.11,66.73,36.78,North,308.86
182.89,161.1,80.31,South,701.25
154.29,138.76,40.22,West,552.73
283.46,257.88,42.18,South,941.63
196.81,182.11,45.51,South,674.84
286.7,249.81,82.7,South,1026.33
136.28,124.75,85.9,East,563.76
179.02,153.91,72.39,East,670.76
213.02,196.24,51.4,West,739.71
236.11,214.35,69.8,South,828.18
125.44,108.89,11.37,West,410.47
191.89,170.43,86.27,North,729.22
230.06,211.38,35.28,West,753.21
279.38,250.75,99.07,South,1008.44
175.71,166.79,79.49,West,659.36
202.07,184.84,29.65,West,660.86
283.47,254.6,10.29,West,884.88
260.88,225.4,73.32,South,937.34
,198.7,54.28,East,782.34
218.88,187.38,71.32,South,789.38
195.71,173.94,13.26,East,631.14
207.02,186.36,53.91,South,734.81
229.35,212.02,62.66,West,788.26
162.61,144.78,72.79,North,625.34
225.21,205.44,78.35,West,823.56
143.46,135.25,96.38,West,600.3
234.98,200.47,83.81,West,841.52
270.16,239.02,90.59,East,1007.56
281.64,244.04,88.09,North,1004.24
247.51,222.18,60.39,East,874.41
245.63,220.23,87.4,South,896.26
75.25,68.63,39.17,South,324.06
220.48,197.32,74.29,East,811.61
179.85,159.35,85.13,North,677.17
124.43,113.73,23.17,South,435.01
245.78,220.14,38.83,South,828.29
200.35,175.38,68.79,South,737.09
178.94,160.65,79.14,West,671.21
295.34,274.71,20.66,North,928.6
168.25,162.58,69.64,East,654.24
126.23,118.3,89.34,East,547.35
249.0,214.11,87.18,South,927.62
,95.15,50.64,North,428.36
98.74,85.07,29.46,North,359.16
168.51,154.83,96.53,South,675.42
212.08,182.96,50.39,East,737.58
173.93,166.96,36.14,East,597.49
69.09,64.66,19.86,West,240.7
163.69,150.39,99.74,North,689.77
256.68,229.41,91.93,North,941.98
298.0,268.23,60.44,North,1015.14
247.45,221.07,29.95,West,805.54
256.91,227.24,96.34,South,944.95
,146.39,61.46,West,585.65
